t_sec,gaze_speed_dps,is_fixation,pred_confidence,hand_speed
25.724,13.369,1,0.108,0.217
25.787,13.369,1,0.150,0.299
25.850,11.635,1,0.183,0.367
25.915,5.755,1,0.213,0.425
25.979,5.755,1,0.175,0.351
26.042,9.567,1,0.193,0.387
26.108,9.567,1,0.241,0.482
26.171,10.474,1,0.248,0.495
26.233,4.305,1,0.213,0.426
26.298,4.305,1,0.159,0.318
26.363,17.723,1,0.160,0.320
26.430,13.367,1,0.140,0.279
26.496,13.367,1,0.106,0.213
26.750,10.442,1,0.109,0.218
26.878,8.419,1,0.121,0.242
26.945,6.822,1,0.200,0.400
27.012,5.960,1,0.212,0.424
27.077,5.960,1,0.204,0.409
27.143,4.346,1,0.178,0.356
27.208,4.346,1,0.163,0.327
27.273,4.144,1,0.169,0.337
27.338,1.875,1,0.160,0.321
27.403,1.875,1,0.168,0.337
27.467,5.128,1,0.166,0.332
27.530,3.019,1,0.155,0.310
27.594,3.019,1,0.140,0.280
27.660,19.619,1,0.102,0.204
30.806,43.425,1,0.182,0.363
30.871,37.910,1,0.256,0.512
30.946,29.711,1,0.278,0.557
31.010,29.711,1,0.332,0.665
31.076,27.766,1,0.381,0.762
31.140,22.843,1,0.375,0.750
31.206,22.843,1,0.383,0.766
31.271,20.606,1,0.395,0.790
31.336,21.103,1,0.421,0.841
31.399,21.103,1,0.377,0.753
31.464,14.785,1,0.331,0.661
31.529,14.305,1,0.315,0.630
31.597,14.305,1,0.274,0.548
31.666,9.547,1,0.250,0.501
31.732,11.934,1,0.212,0.424
32.689,31.046,1,0.171,0.342
32.755,26.450,1,0.200,0.400
32.822,41.934,1,0.275,0.550
32.886,41.934,1,0.206,0.411
32.952,37.438,1,0.159,0.318
33.019,32.744,1,0.190,0.381
33.084,32.744,1,0.228,0.456
33.147,28.083,1,0.196,0.391
33.210,28.083,1,0.208,0.417
33.277,21.397,1,0.225,0.450
33.340,20.020,1,0.187,0.375
33.405,20.020,1,0.125,0.250
37.290,32.035,1,0.151,0.301
37.354,3.834,1,0.215,0.431
37.420,5.482,1,0.248,0.496
37.486,5.482,1,0.231,0.462
37.552,4.347,1,0.151,0.303
37.619,5.781,1,0.149,0.298
38.545,2.823,1,0.199,0.399
38.795,1.686,1,0.163,0.327
38.926,25.520,1,0.106,0.211
39.266,13.953,1,0.239,0.479
39.331,18.747,1,0.244,0.488
39.396,18.747,1,0.122,0.245
39.461,10.166,1,0.149,0.297
39.529,6.167,1,0.195,0.391
39.595,6.167,1,0.207,0.414
39.663,11.098,1,0.241,0.482
39.729,15.099,1,0.199,0.399
39.795,15.099,1,0.133,0.265
13.638,14.545,1,0.110,0.220
13.702,14.545,1,0.104,0.209
23.200,10.506,1,0.113,0.227
23.265,7.808,1,0.139,0.277
23.330,20.537,1,0.105,0.210
23.395,20.537,1,0.106,0.212
23.458,16.077,1,0.148,0.296
23.523,16.077,1,0.131,0.261
23.971,5.365,1,0.113,0.227
24.034,5.139,1,0.130,0.259
24.101,5.139,1,0.101,0.203
24.166,7.687,1,0.138,0.275
24.233,2.119,1,0.127,0.255
24.366,4.807,1,0.121,0.243
24.432,3.620,1,0.116,0.233
26.042,12.666,1,0.108,0.215
26.106,12.666,1,0.118,0.236
26.298,9.517,1,0.110,0.221
27.071,8.803,1,0.111,0.222
27.136,5.761,1,0.115,0.231
27.202,5.761,1,0.118,0.237
31.866,18.034,1,0.119,0.238
31.929,13.092,1,0.122,0.244
31.994,13.092,1,0.116,0.232
32.631,18.037,1,0.160,0.320
32.695,18.037,1,0.233,0.466
32.759,11.940,1,0.268,0.537
32.825,11.940,1,0.250,0.499
32.891,14.122,1,0.228,0.456
35.357,28.499,1,0.231,0.461
35.422,28.499,1,0.184,0.369
35.487,21.727,1,0.132,0.264
35.552,17.313,1,0.144,0.289
35.615,17.313,1,0.122,0.244
36.889,10.824,1,0.101,0.202
36.956,3.504,1,0.155,0.310
37.021,3.504,1,0.200,0.401
37.088,3.449,1,0.214,0.428
37.152,1.654,1,0.233,0.466
37.216,1.654,1,0.244,0.488
37.280,0.807,1,0.227,0.454
37.344,1.405,1,0.185,0.371
37.408,1.405,1,0.137,0.273
39.612,29.240,1,0.107,0.215
39.678,29.887,1,0.145,0.290
39.743,24.064,1,0.153,0.306
39.808,24.064,1,0.119,0.237
42.364,10.198,1,0.123,0.246
42.427,10.198,1,0.169,0.339
42.492,10.402,1,0.186,0.372
42.558,4.535,1,0.193,0.386
42.620,4.535,1,0.151,0.302
42.686,2.864,1,0.136,0.271
42.750,2.425,1,0.185,0.370
42.816,2.425,1,0.183,0.365
42.882,3.365,1,0.201,0.402
42.948,44.194,1,0.205,0.410
43.014,44.194,1,0.173,0.347
43.078,35.079,1,0.174,0.348
46.939,19.556,1,0.100,0.200
47.006,19.556,1,0.112,0.224
47.073,17.374,1,0.125,0.249
47.136,12.160,1,0.146,0.293
47.201,12.160,1,0.153,0.306
47.265,8.966,1,0.148,0.296
47.331,3.145,1,0.133,0.265
47.395,3.145,1,0.102,0.204
50.776,1.101,1,0.155,0.311
50.839,1.344,1,0.225,0.451
50.906,1.344,1,0.238,0.477
50.970,2.555,1,0.256,0.513
51.035,30.379,1,0.250,0.499
51.101,30.379,1,0.220,0.440
51.167,29.525,1,0.226,0.453
51.234,22.994,1,0.215,0.430
51.302,22.994,1,0.171,0.341
51.365,18.422,1,0.146,0.293
51.429,19.704,1,0.131,0.263
53.003,5.298,1,0.122,0.244
53.068,4.651,1,0.126,0.251
55.282,12.964,1,0.103,0.207
55.348,11.974,1,0.131,0.262
55.414,11.974,1,0.158,0.315
55.480,15.186,1,0.169,0.339
55.545,7.688,1,0.179,0.357
55.609,7.688,1,0.171,0.342
55.674,9.946,1,0.165,0.330
55.739,7.822,1,0.173,0.346
55.806,7.822,1,0.130,0.259
59.806,7.772,1,0.101,0.201
59.872,6.558,1,0.141,0.282
59.939,6.055,1,0.159,0.318
60.004,6.055,1,0.184,0.367
60.069,7.256,1,0.192,0.385
60.138,0.861,1,0.201,0.402
60.202,0.861,1,0.207,0.414
60.774,32.822,1,0.150,0.300
60.837,22.081,1,0.142,0.285
60.902,22.081,1,0.158,0.315
60.966,20.682,1,0.169,0.338
61.031,17.957,1,0.205,0.411
61.096,17.957,1,0.195,0.391
61.162,19.583,1,0.199,0.397
61.227,19.583,1,0.209,0.419
61.290,14.896,1,0.186,0.372
61.356,15.861,1,0.143,0.286
61.421,15.861,1,0.111,0.222
96.700,46.189,1,0.112,0.224
96.771,41.948,1,0.184,0.367
97.142,22.461,1,0.125,0.249
97.208,22.461,1,0.141,0.283
97.273,20.179,1,0.133,0.266
97.343,14.155,1,0.140,0.281
97.408,14.155,1,0.111,0.222
97.473,18.952,1,0.106,0.212
97.537,12.037,1,0.107,0.214
97.668,16.871,1,0.154,0.307
97.734,5.763,1,0.165,0.331
97.798,5.763,1,0.165,0.330
97.863,6.061,1,0.115,0.230
98.056,53.453,1,0.116,0.232
98.124,53.453,1,0.173,0.345
98.190,37.043,1,0.175,0.351
98.256,37.826,1,0.153,0.306
98.323,37.826,1,0.123,0.246
98.712,22.561,1,0.114,0.227
98.777,18.254,1,0.137,0.273
98.842,10.433,1,0.152,0.305
98.910,10.433,1,0.160,0.319
98.974,14.161,1,0.148,0.295
99.355,61.584,1,0.102,0.204
99.421,61.584,1,0.142,0.284
99.485,52.008,1,0.153,0.307
99.548,48.461,1,0.139,0.277
99.614,48.461,1,0.137,0.273
99.680,35.405,1,0.115,0.230
101.151,10.013,1,0.111,0.222
101.218,10.013,1,0.166,0.331
101.282,5.630,1,0.194,0.389
101.347,4.440,1,0.254,0.509
101.413,4.440,1,0.309,0.618
101.494,10.098,1,0.430,0.860
103.177,10.162,1,0.155,0.310
103.244,10.964,1,0.220,0.440
103.309,10.964,1,0.214,0.427
103.373,49.507,1,0.251,0.502
103.439,53.285,1,0.256,0.513
103.504,53.285,1,0.218,0.437
103.569,47.926,1,0.145,0.289
103.635,42.172,1,0.128,0.256
103.702,42.172,1,0.103,0.206
104.927,19.152,1,0.147,0.295
104.992,11.681,1,0.187,0.374
105.055,7.782,1,0.215,0.431
105.118,7.782,1,0.256,0.513
105.183,2.511,1,0.254,0.508
105.249,5.230,1,0.214,0.429
105.316,5.230,1,0.152,0.304
109.179,6.719,1,0.101,0.202
115.010,12.418,1,0.101,0.203
118.683,25.905,1,0.106,0.211
118.748,20.161,1,0.200,0.399
118.811,20.161,1,0.282,0.563
118.876,22.095,1,0.332,0.665
