t_sec,v_raw,v_limited,estop_scale,fatigue_scale,joint_name
7.592,0.0001,0.0001,1.000,1.000,shoulder_lift
7.641,0.0003,0.0003,1.000,1.000,shoulder_lift
7.691,0.0000,0.0000,1.000,1.000,shoulder_lift
7.741,-0.0001,-0.0001,1.000,1.000,shoulder_lift
7.792,-0.0001,-0.0001,1.000,1.000,shoulder_lift
7.841,-0.0001,-0.0001,1.000,1.000,shoulder_lift
7.891,0.0000,0.0000,1.000,1.000,shoulder_lift
7.941,0.0000,0.0000,1.000,1.000,shoulder_lift
7.991,0.0000,0.0000,1.000,1.000,shoulder_lift
8.042,0.0000,0.0000,1.000,1.000,shoulder_lift
8.091,0.0000,0.0000,1.000,1.000,shoulder_lift
8.141,0.0002,0.0002,1.000,1.000,shoulder_lift
8.191,0.0002,0.0002,1.000,1.000,shoulder_lift
8.241,0.0000,0.0000,1.000,1.000,shoulder_lift
8.291,0.0000,0.0000,1.000,1.000,shoulder_lift
8.341,0.0002,0.0002,1.000,1.000,shoulder_lift
8.391,0.0001,0.0001,1.000,1.000,shoulder_lift
8.441,0.0000,0.0000,1.000,1.000,shoulder_lift
8.491,-0.0001,-0.0001,1.000,1.000,shoulder_lift
8.541,0.0001,0.0001,1.000,1.000,shoulder_lift
8.592,0.0000,0.0000,1.000,1.000,shoulder_lift
8.641,0.0001,0.0001,1.000,1.000,shoulder_lift
8.691,0.0001,0.0001,1.000,1.000,shoulder_lift
8.741,0.0000,0.0000,1.000,1.000,shoulder_lift
8.791,0.0000,0.0000,1.000,1.000,shoulder_lift
8.841,-0.0001,-0.0001,1.000,1.000,shoulder_lift
8.891,0.0000,0.0000,1.000,1.000,shoulder_lift
8.941,0.0001,0.0001,1.000,1.000,shoulder_lift
8.991,0.0001,0.0001,1.000,1.000,shoulder_lift
9.041,-0.0000,-0.0000,1.000,1.000,shoulder_lift
9.091,-1.4911,-0.0500,1.000,1.000,shoulder_lift
9.141,-1.4711,-0.0900,1.000,1.000,shoulder_lift
9.191,-1.4457,-0.0886,1.000,1.000,shoulder_lift
9.241,-1.4236,-0.0875,1.000,1.000,shoulder_lift
9.291,-1.3769,-0.0851,1.000,1.000,shoulder_lift
9.341,-1.3426,-0.0834,1.000,1.000,shoulder_lift
9.392,-1.3022,-0.0814,1.000,1.000,shoulder_lift
9.441,-1.2591,-0.0794,1.000,1.000,shoulder_lift
9.491,-1.2434,-0.0792,1.000,1.000,shoulder_lift
9.541,-1.2115,-0.0779,1.000,1.000,shoulder_lift
9.592,-1.2206,-0.0794,1.000,1.000,shoulder_lift
9.641,-1.2231,-0.0806,1.000,1.000,shoulder_lift
9.691,-1.2269,-0.0818,1.000,1.000,shoulder_lift
9.741,-1.2118,-0.0819,1.000,1.000,shoulder_lift
9.791,-1.2293,-0.0840,1.000,1.000,shoulder_lift
9.841,-1.2576,-0.0873,1.000,1.000,shoulder_lift
9.891,-1.2876,-0.0906,1.000,1.000,shoulder_lift
9.941,-1.3116,-0.0935,1.000,1.000,shoulder_lift
9.991,-1.2934,-0.0935,1.000,1.000,shoulder_lift
10.041,-1.3127,-0.0964,1.000,1.000,shoulder_lift
10.091,-1.3361,-0.0995,1.000,1.000,shoulder_lift
10.141,-1.3729,-0.1037,1.000,1.000,shoulder_lift
10.191,-1.3533,-0.1037,1.000,1.000,shoulder_lift
10.241,-1.3940,-0.1086,1.000,1.000,shoulder_lift
10.291,-1.4459,-0.1142,1.000,1.000,shoulder_lift
10.341,-1.4986,-0.1201,1.000,1.000,shoulder_lift
10.391,-1.5519,-0.1262,1.000,1.000,shoulder_lift
10.441,-1.5246,-0.1263,1.000,1.000,shoulder_lift
10.491,-1.5714,-0.1320,1.000,1.000,shoulder_lift
10.541,-1.6063,-0.1370,1.000,1.000,shoulder_lift
10.591,-1.6334,-0.1415,1.000,1.000,shoulder_lift
10.641,-1.6024,-0.1415,1.000,1.000,shoulder_lift
10.691,-1.6187,-0.1453,1.000,1.000,shoulder_lift
10.741,-1.6186,-0.1478,1.000,1.000,shoulder_lift
10.792,-1.6119,-0.1499,1.000,1.000,shoulder_lift
10.841,-1.5942,-0.1514,1.000,1.000,shoulder_lift
10.891,-1.5658,-0.1515,1.000,1.000,shoulder_lift
10.941,-1.5445,-0.1523,1.000,1.000,shoulder_lift
10.992,-1.5134,-0.1522,1.000,1.000,shoulder_lift
11.041,-1.4693,-0.1513,1.000,1.000,shoulder_lift
11.091,-1.4264,-0.1501,1.000,1.000,shoulder_lift
11.141,-1.3971,-0.1500,1.000,1.000,shoulder_lift
11.191,-1.3530,-0.1484,1.000,1.000,shoulder_lift
11.242,-1.3009,-0.1465,1.000,1.000,shoulder_lift
11.291,-1.2509,-0.1442,1.000,1.000,shoulder_lift
11.341,-1.2012,-0.1418,1.000,1.000,shoulder_lift
11.391,-1.1734,-0.1417,1.000,1.000,shoulder_lift
11.441,-1.1206,-0.1390,1.000,1.000,shoulder_lift
11.491,-1.0788,-0.1371,1.000,1.000,shoulder_lift
11.541,-1.0347,-0.1348,1.000,1.000,shoulder_lift
11.591,-0.9921,-0.1328,1.000,1.000,shoulder_lift
11.641,-0.9618,-0.1327,1.000,1.000,shoulder_lift
11.691,-0.9208,-0.1305,1.000,1.000,shoulder_lift
11.742,-0.8847,-0.1289,1.000,1.000,shoulder_lift
11.791,-0.8396,-0.1259,1.000,1.000,shoulder_lift
11.841,-0.7945,-0.1234,1.000,1.000,shoulder_lift
11.891,-0.7703,-0.1233,1.000,1.000,shoulder_lift
11.941,-0.7299,-0.1205,1.000,1.000,shoulder_lift
11.991,-0.6979,-0.1189,1.000,1.000,shoulder_lift
12.041,-0.6673,-0.1181,1.000,1.000,shoulder_lift
12.091,-0.5598,-0.1068,1.000,1.000,shoulder_lift
12.141,-0.5374,-0.1064,1.000,1.000,shoulder_lift
12.191,-0.5042,-0.1040,1.000,1.000,shoulder_lift
12.241,-0.4640,-0.1005,1.000,1.000,shoulder_lift
12.291,-0.4376,-0.0986,1.000,1.000,shoulder_lift
