weight,perturbation,band_reassigned_pct,mean_abs_dF
blink_rate,0.05,1.498,0.0042
blink_rate,0.1,2.989,0.0084
blink_rate,0.15,4.462,0.01261
blink_rate,0.2,5.967,0.01681
blink_rate,0.3,8.915,0.02521
blink_rate,0.4,11.962,0.03362
blink_rate,0.5,15.08,0.04202
blink_duration,0.05,1.261,0.0035
blink_duration,0.1,2.523,0.00701
blink_duration,0.15,3.778,0.01051
blink_duration,0.2,5.046,0.01401
blink_duration,0.3,7.563,0.02102
blink_duration,0.4,10.093,0.02803
blink_duration,0.5,12.626,0.03504
PERCLOS,0.05,1.502,0.0042
PERCLOS,0.1,2.967,0.0084
PERCLOS,0.15,4.461,0.0126
PERCLOS,0.2,5.959,0.0168
PERCLOS,0.3,8.982,0.0252
PERCLOS,0.4,12.02,0.0336
PERCLOS,0.5,15.125,0.042
hand_jerk,0.05,0.764,0.00208
hand_jerk,0.1,1.515,0.00416
hand_jerk,0.15,2.289,0.00624
hand_jerk,0.2,3.044,0.00832
hand_jerk,0.3,4.604,0.01248
hand_jerk,0.4,6.107,0.01664
hand_jerk,0.5,7.622,0.0208

boundary,threshold,crossing_pct_at_pm20
FRESH/MILD,0.3,1.457
MILD/MODERATE,0.6,3.193
MODERATE/SEVERE,0.8,0.354
